fileId,username,rank,submit_ts,subm_id
132,newhar,133,1716650049,534769291
134,nicolaSaporetti,134,1716649755,1267596919
133,han3000,135,1716650361,534770684
136,Ani_S,136,1716650068,1267605436
135,w285714,137,1716649771,534767984
137,aryangarg0729,138,1716650673,1267621680
138,maxcruickshanks,139,1716650052,1267604998
139,darrenhp,140,1716649808,534768141
141,curdking,141,1716650111,534769586
142,8symbols,142,1716650114,1267606726
146,retyrn,143,1716650434,534770979
140,EUqr2c2cjD8nuX5K,144,1716650743,1267623423
144,gradesking,145,1716649846,534768338
143,zhou-zhou-36,146,1716650747,534772257
147,ustadji,147,1716650455,1267615990
149,hughstudy-n,148,1716649414,534766421
145,devashish59,149,1716650484,1267616731
150,ye_che,150,1716650193,534769950
153,justDummy,151,1716650509,1267617415
148,hongyili,152,1716650814,1267625123
151,chuan-chih,153,1716650821,1267625284
152,celestialcoder,154,1716650827,1267625441
155,winter_dragon,155,1716650534,1267618079
154,arpitras,156,1716650541,1267618264
157,rtmkz,157,1716649318,1267584384
159,Ruiko,158,1716650246,534770167
156,harsh_bang7,159,1716650847,1267625912
158,ning2ing,160,1716650562,534771518
160,sgdfbahjbhbaisdufg,161,1716650270,1267610982
162,WanderOvO,162,1716650874,534772782
161,thecoolboy,163,1716650276,534770302
163,anupam_ghosh,164,1716650576,1267619171
166,jojayoh,165,1716650584,1267619355
167,knarf,166,1716650887,534772837
169,spaly,167,1716650011,534769107
164,xiao-xiao-dimeng-huan,168,1716650915,534772942
165,archerfrank,169,1716650626,534771768
171,tsdlatrobe,170,1716650367,1267613641
173,Rad0miR,171,1716650392,1267614315
174,kamui721,172,1716651000,534773281
170,Tinky1224,173,1716650706,1267622502
175,recursing-almeidafxd,174,1716650710,534772091
168,ywwbill,175,1716650733,534772193
177,bai-ci-2m,176,1716650143,534769737
172,SkylerTsai,177,1716650453,1267615932
178,night_732,178,1716650176,534769877
180,Kinon,179,1716651095,1267631966
182,ThuPngm,180,1716650796,1267624704
179,power1011,181,1716651107,1267632241
176,nguyenquocthao00,182,1716650520,1267617702
185,vctr8000,183,1716650521,1267617736
181,harsh_3002,184,1716651133,1267632930
183,rayvivek779,185,1716649826,1267598764
186,GoGuru,186,1716650863,1267626326
190,Abeed_shaik,187,1716650270,1267610996
187,agoodloser,188,1716650284,534770333
184,kt56698,189,1716650903,1267627259
192,sksusha8853,190,1716651214,1267634950
191,jackle,191,1716650052,534769307
188,yomaesakura,192,1716650662,534771915
189,biharicoder,193,1716650388,1267614215
193,LarryNY,194,1716650389,1267614221
198,mnaoumov,195,1716650999,1267629605
194,superwesly123,196,1716650400,1267614527
197,nnv-nick,197,1716650432,1267615378
196,Rudranil_Acharya,198,1716650149,1267607722
195,dapu81000,199,1716651355,1267638411
200,park6,200,1716651060,534773533
203,agrawalji,201,1716651067,1267631229
201,_itsme,202,1716651082,1267631639
202,ard001,203,1716651087,1267631781
199,archip,204,1716650798,1267624747
204,laughing-parepvg,205,1716650802,534772492
206,chetanaggarwal289,206,1716651114,1267632429
207,iivankon,207,1716651114,1267632441
205,probable_,208,1716651115,1267632457
208,realsanjeevd,209,1716650225,1267609798
209,non_deterministic,210,1716650528,1267617919
215,lost-temple-2,211,1716651131,534773836
210,ferferge,212,1716651157,1267633518
212,yuchen_724,213,1716650260,1267610706
213,zhi-cr,214,1716651462,534775163
214,sas4eka,215,1716651164,1267633690
217,Siddharth_Joshi,216,1716650865,1267626361
211,plevande,217,1716649673,1267594604
219,ujjwal___,218,1716651485,1267641470
216,john801205,219,1716651493,1267641640
218,Rohit_Meena,220,1716651211,1267634872
220,raghu30,221,1716650914,1267627513
221,topmoklaer,222,1716650942,1267628191
222,Roroyal,223,1716650953,1267628448
223,masatomo,224,1716651553,1267643038
224,Scyther_07,225,1716651555,1267643106
226,yangxm,226,1716650656,1267621242
228,nandikeshsingh,227,1716649824,1267598714
227,kocyte,228,1716651560,1267643206
225,PyIsTheBestLang,229,1716650664,534771926
229,tar2,230,1716650965,1267628761
230,Akash0P,231,1716650667,1267621542
231,fri59h2,232,1716650982,534773216
233,sunil1906,233,1716651285,1267636683
235,fml31_avms,234,1716651303,1267637123
